Method,Simulation,Epoch,N,Actions,ActsName,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest,cpuTime
Separate,1,0,100,10,sqrt(N) Actions,0.0,,,,2.6665735035041704,2.6665735035041704,
Separate,1,1,101,10,sqrt(N) Actions,0.0,"[[3.619323208096069, 3.6848757326815265, 2.910251689108154, 3.6728014214540647, 3.236848791439527, 3.7715843771986757]]",3.9719636214552025,0.011444991026723776,2.6665735035041704,2.6665735035041704,14.568685526000001
Separate,1,2,102,10,sqrt(N) Actions,0.0,"[[4.129802087061524, 4.340949516650513, 3.469028875965589, 4.335387233911955, 3.6911020429156727, 4.212354231466677]]",4.6500641247301235,0.005130192408794,2.6665735035041704,2.6665735035041704,12.962327124999998
Separate,1,3,103,10,sqrt(N) Actions,0.0,"[[4.546582358933548, 4.661986439172399, 3.7177235133898905, 4.67905369165035, 3.965792362618477, 4.650045022575509]]",5.133448870777992,0.0027569096931869173,2.6665735035041704,2.6665735035041704,12.969456370000003
Separate,1,4,104,10,sqrt(N) Actions,0.0,"[[4.897504672075481, 5.013491808727112, 3.4946961441760993, 5.055539393284457, 3.800549160431255, 4.958534504715869]]",5.4962883661669935,0.0011841826891085083,2.6665735035041704,2.6665735035041704,12.957665928999994
Separate,1,5,105,10,sqrt(N) Actions,0.0,"[[5.528252078440308, 5.607195602888045, 3.661608966419569, 5.617926111393886, 3.074078065586514, 5.702776195633075]]",6.198854993679319,0.0004072925837169887,2.6665735035041704,2.6665735035041704,12.94691689399999
Separate,1,6,106,10,sqrt(N) Actions,0.0,"[[6.838581580042948, 7.396516635244092, 4.094396600585045, 7.305948443583197, 2.6015071221768693, 6.691488034793419]]",7.866211777979511,3.711281359835651e-05,2.6665735035041704,2.6665735035041704,12.970378957000008
Separate,1,7,107,10,sqrt(N) Actions,0.0,"[[7.252592644124063, 7.801231214976429, 4.27507380471055, 7.723117572841008, 2.2473824742396427, 6.974133688129807]]",8.273726097069614,2.0305691239915824e-05,2.6665735035041704,2.6665735035041704,12.95386545000001
Separate,1,8,108,10,sqrt(N) Actions,0.0,"[[7.706095818923651, 8.337724154683812, 4.583284923253931, 8.098301135274001, 1.9905693569241563, 7.3799889895846755]]",8.696815623099663,7.497641258097019e-06,2.6665735035041704,2.6665735035041704,12.962184734000004
Separate,1,9,109,10,sqrt(N) Actions,0.0,"[[8.014939238235263, 8.811223554572527, 4.903824090509291, 8.525259431486205, 1.8999955153922303, 7.466156089540716]]",9.163185712602012,2.8619388659838215e-06,2.6665735035041704,2.6665735035041704,12.964138843
Separate,1,10,110,10,sqrt(N) Actions,0.0,"[[8.638686076831233, 9.375016117779948, 4.611047816542562, 9.15405198334684, 1.9652202062601223, 8.09485372508262]]",9.78936547889795,1.1533288023489186e-06,2.6665735035041704,2.6665735035041704,12.970169555000012
Separate,1,11,111,10,sqrt(N) Actions,0.0,"[[9.199028294282503, 9.893020676620816, 4.992132992914939, 9.643340823590645, 1.977705972618668, 8.443480207498368]]",10.346450696426405,4.858635397816411e-07,2.6665735035041704,2.6665735035041704,12.97115297100001
Separate,1,12,112,10,sqrt(N) Actions,0.0,"[[9.622686573510801, 10.275279499135088, 5.04700475069751, 10.04467692674793, 1.9799896829247783, 8.76298906649593]]",10.774443550206021,2.3433090993410928e-07,2.6665735035041704,2.6665735035041704,12.976255680999998
