Method,Simulation,Epoch,N,Actions,ActsName,TrueNoise,LengthScale,OutputScale,SigmaSq,obsBest,trueBest,cpuTime
Separate,1,0,100,10,sqrt(N) Actions,0.0,,,,2.426156520843506,2.426156520843506,
Separate,1,1,101,10,sqrt(N) Actions,0.0,"[[4.484087944030762, 1.1457418203353882, 3.654531955718994, 4.3967485427856445, 4.149274826049805, 2.983128547668457]]",5.696103096008301,0.005608841311186552,2.426156520843506,2.426156520843506,5.795498769
Separate,1,2,102,10,sqrt(N) Actions,0.0,"[[4.378610610961914, 4.027190208435059, 3.6961143016815186, 4.637754917144775, 4.527018070220947, 2.855031967163086]]",4.488712787628174,0.018001489341259003,2.426156520843506,2.426156520843506,4.507839583999999
Separate,1,3,103,10,sqrt(N) Actions,0.0,"[[1.2063038349151611, 5.380594253540039, 3.833263397216797, 3.9561614990234375, 4.824873447418213, 4.808627128601074]]",5.237863063812256,0.006701632868498564,2.426156520843506,2.426156520843506,4.545673328000001
Separate,1,4,104,10,sqrt(N) Actions,0.0,"[[4.364865779876709, 4.846319675445557, 4.442753791809082, 3.287919044494629, 5.122274398803711, 6.192999839782715]]",4.327290058135986,0.0321725532412529,2.426156520843506,2.426156520843506,4.608387852
Separate,1,5,105,10,sqrt(N) Actions,0.0,"[[2.8046650886535645, 4.623124599456787, 3.574057102203369, 4.624744892120361, 5.1415510177612305, 4.556970596313477]]",6.335078239440918,0.015961643308401108,2.426156520843506,2.426156520843506,4.646754079999997
Separate,1,6,106,10,sqrt(N) Actions,0.0,"[[2.453852653503418, 4.641124248504639, 2.929086446762085, 4.327076435089111, 4.540329456329346, 4.9623565673828125]]",3.437885046005249,0.01023411937057972,2.426156520843506,2.426156520843506,4.610523714999999
Separate,1,7,107,10,sqrt(N) Actions,0.0,"[[4.046627998352051, 4.12058162689209, 3.6607038974761963, 3.8635740280151367, 2.6663765907287598, 3.5760202407836914]]",3.0626134872436523,0.020423097535967827,2.426156520843506,2.426156520843506,4.703505457999999
Separate,1,8,108,10,sqrt(N) Actions,0.0,"[[3.7681381702423096, 4.818093776702881, 1.7330297231674194, 2.504941940307617, 5.235635757446289, 4.08028507232666]]",4.602515697479248,0.006405509542673826,2.426156520843506,2.426156520843506,4.649933062999999
Separate,1,9,109,10,sqrt(N) Actions,0.0,"[[3.9571094512939453, 4.027771472930908, 4.238985538482666, 3.790942907333374, 3.0690293312072754, 4.85479736328125]]",3.8633503913879395,0.016152866184711456,2.426156520843506,2.426156520843506,4.721383355999997
Separate,1,10,110,10,sqrt(N) Actions,0.0,"[[2.4225306510925293, 6.261775016784668, 3.015317678451538, 2.3323283195495605, 1.9358984231948853, 4.087650299072266]]",3.724561929702759,0.00757056986913085,2.426156520843506,2.426156520843506,4.684902979999997
Separate,1,11,111,10,sqrt(N) Actions,0.0,"[[3.8632946014404297, 3.800616979598999, 2.7587850093841553, 3.9463260173797607, 3.5559442043304443, 3.59380841255188]]",4.3643999099731445,0.013183998875319958,2.426156520843506,2.426156520843506,4.738310022999997
